Mark,Wind,Athlete,Place,Date
  7.61 m (24 ft 11+1⁄2 in),,  Peter O'Connor (IRE)," Dublin, Ireland", 5 August 1901[1]
  7.69 m (25 ft 2+3⁄4 in),,  Edward Gourdin (USA)," Cambridge, United States", 23 July 1921[1]
  7.76 m (25 ft 5+1⁄2 in),,  Robert LeGendre (USA)," Paris, France", 7 July 1924[1]
  7.89 m (25 ft 10+1⁄2 in),,  DeHart Hubbard (USA)," Chicago, United States", 13 June 1925[1]
  7.90 m (25 ft 11 in),,  Edward Hamm (USA)," Cambridge, United States", 7 July 1928[1]
  7.93 m (26 ft 0 in),0.0,  Sylvio Cator (HAI)," Paris, France", 9 September 1928[1]
  7.98 m (26 ft 2 in),0.5,  Chuhei Nambu (JPN)," Tokyo, Japan", 27 October 1931[1]
  8.13 m (26 ft 8 in),1.5,  Jesse Owens (USA)," Ann Arbor, United States", 25 May 1935[1]
  8.21 m (26 ft 11 in),0.0,  Ralph Boston (USA)," Walnut, United States", 12 August 1960[1]
  8.24 m (27 ft 1⁄4 in),1.8,  Ralph Boston (USA)," Modesto, United States", 27 May 1961[1]
  8.28 m (27 ft 1+3⁄4 in),1.2,  Ralph Boston (USA)," Moscow, Soviet Union", 16 July 1961[1]
  8.31 m (27 ft 3 in) A,−0.1,  Igor Ter-Ovanesyan (URS)," Yerevan, Soviet Union", 10 June 1962[1]
  8.33 m (27 ft 3+3⁄4 in)[3],,  Phil Shinnick (USA)," Modesto, United States", 25 May 1963[4]
  8.31 m (27 ft 3 in),0.0,  Ralph Boston (USA)," Kingston, Jamaica", 15 August 1964[note 1][5]
  8.34 m (27 ft 4+1⁄4 in),1.0,  Ralph Boston (USA)," Los Angeles, United States", 12 September 1964[1]
8.35 m (27 ft 4+1⁄2 in)[6],0.0,  Ralph Boston (USA)," Modesto, United States", 29 May 1965[1][7]
  8.35 m (27 ft 4+1⁄2 in),0.8,  Josef Schwarz (FRG)," Stuttgart, West Germany", 15 July 1970[9]
  8.45 m (27 ft 8+1⁄2 in),2.0,  Nenad Stekić (YUG)," Montreal, Canada", 25 July 1975[9]
  8.52 m (27 ft 11+1⁄4 in),0.0,  Larry Myricks (USA)," Montreal, Canada", 26 August 1979[9]
  8.54 m (28 ft 0 in),0.9,  Lutz Dombrowski (GDR)," Moscow, Soviet Union", 28 July 1980[9]
  8.62 m (28 ft 3+1⁄4 in),0.8,  Carl Lewis (USA)," Sacramento, United States", 20 June 1981[9]
  8.76 m (28 ft 8+3⁄4 in),1.0,  Carl Lewis (USA)," Indianapolis, United States", 24 July 1982[9]
  8.79 m (28 ft 10 in),1.9,  Carl Lewis (USA)," Indianapolis, United States", 19 June 1983[9]
  8.95 m (29 ft 4+1⁄4 in),0.3,  Mike Powell (USA)," Tokyo, Japan", 30 August 1991[1]
