Time,Name,Nationality,Date,Event/Place,Source,Notes
03:40:22,Violet Piercy, United Kingdom,"October 3, 1926",London[nb 7],IAAF[52],"The ARRS indicates that Piercy's 3:40:22 was set on August 2, 1926, during a time trial on a course that was only 35.4 km.[19]"
03:37:07,Merry Lepper, United States,"December 16, 1963[nb 8]","Culver City, United States",IAAF[52],Disputed (short course).[94]
03:27:45,Dale Greig, United Kingdom,"May 23, 1964",Ryde,"IAAF,[52] ARRS[19]",
03:19:33,Mildred Sampson, New Zealand,"July 21, 1964[nb 9]","Auckland, New Zealand",IAAF[52],Disputed by ARRS as a time trial.[nb 9][97]
03:14:23,Maureen Wilton, Canada,"May 6, 1967","Toronto, Canada","IAAF,[52] ARRS[19]",The ARRS notes Wilton's extended time as 3:14:22.8[19]
3:07:27.2,Anni Pede-Erdkamp, West Germany,"September 16, 1967","Waldniel, West Germany","IAAF,[52] ARRS[19]",The ARRS notes Pede-Erdkamp's extended time as 3:07:26.2[19]
03:02:53,Caroline Walker, United States,"February 28, 1970","Seaside, OR","IAAF,[52] ARRS[19]",
03:01:42,Elizabeth Bonner, United States,"May 9, 1971","Philadelphia, United States","IAAF,[52] ARRS[19]",
02:55:22,Elizabeth Bonner, United States,"September 19, 1971",New York City Marathon,"IAAF,[52] ARRS[19]",
02:49:40,Cheryl Bridges, United States,"December 5, 1971","Culver City, United States","IAAF,[52] ARRS[19]",
02:46:36,Michiko Gorman, United States,"December 2, 1973","Culver City, United States","IAAF,[52] ARRS[19]",The ARRS notes Gorman's extended time as 2:46:37[19]
02:46:24,Chantal Langlacé, France,"October 27, 1974","Neuf-Brisach, France","IAAF,[52] ARRS[19]",
2:43:54.5,Jacqueline Hansen, United States,"December 1, 1974","Culver City, United States","IAAF,[52] ARRS[19]",The ARRS notes Hansen's extended time as 2:43:54.6[19]
02:42:24,Liane Winter, West Germany,"April 21, 1975",Boston Marathon,IAAF[52],Disputed (point-to-point).[68]
2:40:15.8,Christa Vahlensieck, West Germany,"May 3, 1975",Dülmen,"IAAF,[52] ARRS[19]",
02:38:19,Jacqueline Hansen, United States,"October 12, 1975","Nike OTC Marathon, Eugene, United States","IAAF,[52] ARRS[19]",
2:35:15.4,Chantal Langlacé, France,"May 1, 1977","Oiartzun, Spain",IAAF[52],
2:34:47.5,Christa Vahlensieck, West Germany,"September 10, 1977",Berlin Marathon,"IAAF,[52] ARRS[19]",
2:32:29.8,Grete Waitz, Norway,"October 22, 1978",New York City Marathon,IAAF[52],Disputed (short course).[30][100]
2:27:32.6,Grete Waitz, Norway,"October 21, 1979",New York City Marathon,IAAF[52],Disputed (short course).[30][101]
2:25:41.3,Grete Waitz, Norway,"October 26, 1980",New York City Marathon,IAAF[52],Disputed (short course).[30][102]
02:25:28,Allison Roe, New Zealand,"October 25, 1981",New York City Marathon,IAAF[52],Disputed (short course).[30][103]
2:25:28.7,Grete Waitz, Norway,"April 17, 1983",London Marathon,"IAAF,[52] ARRS[19]",
02:22:43,Joan Benoit, United States,"April 18, 1983",Boston Marathon,IAAF[52],Disputed (point-to-point).[68]
02:21:06,Ingrid Kristiansen, Norway,"April 21, 1985",London Marathon,"IAAF,[52] ARRS[19]",
02:20:47,Tegla Loroupe, Kenya,"April 19, 1998",Rotterdam Marathon,"IAAF,[52] ARRS[19]",
02:20:43,Tegla Loroupe, Kenya,"September 26, 1999",Berlin Marathon,"IAAF,[52] ARRS[19]",
02:19:46,Naoko Takahashi, Japan,"September 30, 2001",Berlin Marathon,"IAAF,[52] ARRS[19]",
02:18:47,Catherine Ndereba, Kenya,"October 7, 2001",Chicago Marathon,"IAAF,[52] ARRS[19]",
02:17:18,Paula Radcliffe, United Kingdom,"October 13, 2002",Chicago Marathon,"IAAF,[52] ARRS[19]","First ""World's Best"" recognized by the International Association of Athletics Federations.[79] The ARRS notes Radcliffe's extended time as 2:17:17.7[19]"
2:15:25,Paula Radcliffe, United Kingdom,"April 13, 2003",London Marathon,"IAAF,[52] ARRS[19]",First world record for the women's marathon ratified by the International Association of Athletics Federations.[104] The ARRS notes Radcliffe's extended time as 2:15:24.6[19]
2:17:42,Paula Radcliffe, Great Britain,"April 17, 2005",London Marathon,IAAF[105],
2:17:01,Mary Jepkosgei Keitany, Kenya,"April 23, 2017",London Marathon,IAAF[106],
2:14:04,Brigid Kosgei, Kenya,"October 13, 2019",Chicago Marathon,IAAF[107],
2:11:53,Tigst Assefa, Ethiopia,"September 24, 2023",Berlin Marathon,World Athletics[108],First woman to break the 2:12:00 barrier in the marathon.[109]
2:16:16,Peres Jepchirchir, Kenya,"April 21, 2024",London Marathon,World Athletics[110],
2:09:56,Ruth Chepng'etich, Kenya,"October 13, 2024",Chicago Marathon,World Athletics,"First woman to break the 2:11:00 and 2:10:00 barriers in the marathon. Chepng'etich was banned on 23 October 2025 for three years for the presence and use of hydrochlorothiazide, though achievements and records pre-dating the 14 March 2025 sample stand.[111]"
2:15:50,Tigst Assefa, Ethiopia,"April 27, 2025",London Marathon,World Athletics[112],
