Time,Name,Nationality,Date,Location
"3'06""8",Sybil Bauer, United States,4 July 1922,"Brighton Beach, United States"
"3'03""8",Sybil Bauer, United States,9 February 1924,"Miami, United States"
"2'59""2",Marie Braun, Netherlands,24 November 1928,"Brussels, Belgium"
"2'58""8",Eleanor Holm, United States,1 February 1930,"Buffalo, United States"
"2'58""2",Eleanor Holm, United States,1 March 1930,"New York City, United States"
"2'50""4",Phyllis Harding, United Kingdom,19 September 1932,"Wallasey, United Kingdom"
"2'49""6",Rie Mastenbroek, Netherlands,20 January 1935,"Amsterdam, Netherlands"
"2'48""7",Eleanor Holm, United States,3 March 1936,"Toledo, United States"
"2'44""6",Nida Senff, Netherlands,2 February 1937,"Amsterdam, Netherlands"
"2'41""3",Ragnhild Hveger, Denmark,14 February 1937,"Århus, Denmark"
"2'41""0",Cor Kint, Netherlands,17 April 1938,"Århus, Denmark"
"2'40""6",Iet van Feggelen, Netherlands,26 October 1938,"Düsseldorf, Germany"
"2'39""0",Iet van Feggelen, Netherlands,18 December 1938,"Amsterdam, Netherlands"
"2'38""8",Cor Kint, Netherlands,29 November 1939,"Rotterdam, Netherlands"
2:38.5,Lenie de Nijs, Netherlands,17 May 1957,"Blackpool, United Kingdom"
2:37.4,Chris von Saltza, United States,1 Aug 1958,"Topeka, United States"
2:37.1,Satoko Tanaka, Japan,12 Jul 1959,"Tokyo, Japan"
2:34.8,Satoko Tanaka, Japan,2 Apr 1960,"Tokyo, Japan"
2:33.5,Lynn Burke, United States,15 Jul 1960,"Indianapolis, United States"
2:33.3,Satoko Tanaka, Japan,23 Jul 1960,"Tokyo, Japan"
2:33.2,Satoko Tanaka, Japan,30 Jul 1961,"Tokyo, Japan"
2:32.1,Satoko Tanaka, Japan,3 Jun 1962,"Beppu, Japan"
2:31.6,Satoko Tanaka, Japan,29 Jul 1962,"Osaka, Japan"
2:29.6,Satoko Tanaka, Japan,10 Feb 1963,"Sydney, Australia"
2:28.9,Satoko Tanaka, Japan,18 Feb 1963,"Perth, Australia"
2:28.5,Satoko Tanaka, Japan,21 Feb 1963,"Perth, Australia"
2:28.2,Satoko Tanaka, Japan,4 Aug 1963,"Tokyo, Japan"
2:27.4,Cathy Ferguson, United States,28 Sep 1964,"Los Angeles, United States"
2:27.1,Karen Muir,  South Africa,25 Jul 1966,"Béziers, France"
2:26.4,Karen Muir,  South Africa,18 Aug 1966,"Lincoln, United States"
2:24.4,Elaine Tanner, Canada,26 Jul 1967,"Winnipeg, Canada"
2:24.1,Karen Muir,  South Africa,6 Jan 1968,"Kimberley, South Africa"
2:23.8,Karen Muir,  South Africa,21 Jul 1968,"Los Angeles, United States"
2:21.5,Susie Atwood, United States,14 Aug 1969,"Louisville, United States"
2:20.64,Melissa Belote, United States,5 Aug 1972,"Chicago, United States"
2:20.58,Melissa Belote, United States,4 Sep 1972,"Munich, West Germany"
2:19.19,Melissa Belote, United States,4 Sep 1972,"Munich, West Germany"
2:18.41,Ulrike Richter,  East Germany,7 Jul 1974,"Rostock, East Germany"
2:17.35,Ulrike Richter,  East Germany,25 Aug 1974,"Vienna, Austria"
2:16.33,Nancy Garapick, Canada,27 Apr 1975,"Brantford, Canada"
2:16.10,Birgit Treiber,  East Germany,6 Jun 1975,"Wittenberg, East Germany"
2:15.46,Birgit Treiber,  East Germany,27 Jul 1975,"Cali, Colombia"
2:14.41,Antje Stille,  East Germany,29 Feb 1976,"East Berlin, East Germany"
2:13.50,Antje Stille,  East Germany,13 Mar 1976,"Tallinn, Soviet Union"
2:12.47,Birgit Treiber,  East Germany,4 Jun 1976,"East Berlin, East Germany"
2:11.93,Linda Jezek, United States,28 Aug 1978,"West Berlin, West Germany"
2:11.77,Rica Reinisch,  East Germany,27 Jul 1980,"Moscow, Soviet Union"
2:09.91,Cornelia Sirch,  East Germany,8 Aug 1982,"Guayaquil, Ecuador"
2:08.60,Betsy Mitchell, United States,27 June 1986,"Orlando, United States"
2:06.62,Krisztina Egerszegi,  Hungary,25 August 1991,"Athens, Greece"
2:06.39,Kirsty Coventry,  Zimbabwe,16 February 2008,"Columbia, United States"
2:06.09,Margaret Hoelzer, United States,5 July 2008,"Omaha, United States"
2:05.24,Kirsty Coventry,  Zimbabwe,16 August 2008,"Beijing, China"
2:04.81,Kirsty Coventry,  Zimbabwe,1 August 2009,"Rome, Italy"
2:04.06,Missy Franklin, United States,3 August 2012,"London, United Kingdom"
2:03.35,Regan Smith, United States,26 July 2019,"Gwangju, South Korea"
2:03.14,Kaylee McKeown, Australia,10 March 2023,"Sydney, Australia"
