,Time,,Name,Nationality,Date,Meet,Location,Ref,
1,1:14.1,,Leonid Kolesnikov, Soviet Union,2 May 1961,-,"Moscow, Soviet Union",
2,1:11.1,,Chet Jastremski, United States,2 July 1961,-,"Chicago, United States",
3,1:10.7,,Gunter Tittes, East Germany,5 July 1961,-,"East Berlin, East Germany",
3,1:10.7,=,Chet Jastremski, United States,28 July 1961,-,"Tokyo, Japan",
4,1:10.0,,Chet Jastremski, United States,30 July 1961,-,"Tokyo, Japan",
5,1:09.5,,Chet Jastremski, United States,3 August 1961,-,"Osaka, Japan",
6,1:07.8,,Chet Jastremski, United States,20 August 1961,Men’s NAAA Championships,"Los Angeles, United States",
7,1:07.5,,Chet Jastremski, United States,20 August 1961,Men’s NAAA Championships,"Los Angeles, United States",
8,1:07.4,,Georgy Prokopenko, Soviet Union,26 March 1964,-,"Baku, Soviet Union",
9,1:06.9,,Georgy Prokopenko, Soviet Union,3 September 1964,-,"Moscow, Soviet Union",
10,1:06.7,,Vladimir Kosinsky, Soviet Union,8 November 1967,-,"Leningrad, Soviet Union",
11,1:06.4,,Jose Fiolo, Brazil,19 February 1968,-,"Rio de Janeiro, Brazil",
12,1:06.2,,Nikolai Pankin, Soviet Union,18 April 1968,-,"Moscow, Soviet Union",
13,1:05.8,,Nikolai Pankin, Soviet Union,20 April 1969,-,"Magdeburg, East Germany",
14,1:05.68,sf,John Hencken, United States,29 August 1972,Olympic Games,"Munich, West Germany",
15,1:05.13,sf,Nobutaka Taguchi, Japan,29 August 1972,Olympic Games,"Munich, West Germany",
16,1:04.94,,Nobutaka Taguchi, Japan,30 August 1972,Olympic Games,"Munich, West Germany",
17,1:04.35,h,John Hencken, United States,4 September 1973,World Championships,"Belgrade, Socialist Federal Republic of Yugoslavia",
18,1:04.02,,John Hencken, United States,4 September 1973,World Championships,"Belgrade, Socialist Federal Republic of Yugoslavia",
19,1:03.88,,John Hencken, United States,31 August 1974,USA vs GDR Dual Meet,"Concord, United States",
19,1:03.88,Err:509,John Hencken, United States,19 July 1976,Olympic Games,"Montreal, Canada",
20,1:03.62,sf,John Hencken, United States,19 July 1976,Olympic Games,"Montreal, Canada",
21,1:03.11,,John Hencken, United States,20 July 1976,Olympic Games,"Montreal, Canada",
22,1:02.86,,Gerald Mörken, West Germany,18 August 1977,-,"Jönköping, Sweden",
23,1:02.62,,Steve Lundquist, United States,19 July 1982,USA World Championship Trials,"Mission Viejo, United States",
24,1:02.53,,Steve Lundquist, United States,21 August 1982,-,"Indianapolis, United States",
25,1:02.34,,Steve Lundquist, United States,19 July 1983,US National Championships,"Clovis, United States",
26,1:02.28,,Steve Lundquist, United States,17 August 1983,Pan American Games,"Caracas, Venezuela",
27,1:02.13,,John Moffet, United States,25 June 1984,US Olympic Trials,"Indianapolis, United States",
28,1:01.65,,Steve Lundquist, United States,29 July 1984,Olympic Games,"Los Angeles, United States",
29,1:01.49,h,Adrian Moorhouse, Great Britain,15 August 1989,European Championships,"Bonn, West Germany",
29,1:01.49,=,Adrian Moorhouse, Great Britain,25 January 1990,Commonwealth Games,"Auckland, New Zealand",
29,1:01.49,=,Adrian Moorhouse, Great Britain,26 July 1990,-,"London, United Kingdom",
29,1:01.49,Err:509,Norbert Rózsa, Hungary,7 January 1991,World Championships,"Perth, Australia",
30,1:01.45,,Norbert Rózsa, Hungary,7 January 1991,World Championships,"Perth, Australia",
30,1:01.45,=,Vasili Ivanov, Soviet Union,11 June 1991,-,"Moscow, Soviet Union",
31,1:01.29,h,Norbert Rózsa, Hungary,20 August 1991,European Championships,"Athens, Greece",
32,1:00.95,h,Károly Güttler, Hungary,3 August 1993,European Championships,"Sheffield, United Kingdom",
33,1:00.60,h,Frederik Deburghgraeve, Belgium,20 July 1996,Olympic Games,"Atlanta, United States",
34,1:00.36,sf,Roman Sludnov, Russia,15 June 2000,-,"Moscow, Russia",
35,1:00.29,,Ed Moses, United States,28 March 2001,US National Championships,"Austin, United States",
36,1:00.26,sf,Roman Sludnov, Russia,28 June 2001,Russian Championships,"Moscow, Russia",
37,59.97,,Roman Sludnov, Russia,29 June 2001,Russian Championships,"Moscow, Russia",
38,59.94,sf,Roman Sludnov, Russia,23 July 2001,World Championships,"Fukuoka, Japan",
39,59.78,,Kosuke Kitajima, Japan,21 July 2003,World Championships,"Omaha, United States",
40,59.30,,Brendan Hansen, United States,8 July 2004,US Olympic Trials,"Long Beach, United States",
41,59.13,,Brendan Hansen, United States,1 August 2006,US National Championships,"Irvine, United States",
42,58.91,,Kosuke Kitajima, Japan,11 August 2008,Olympic Games,"Beijing, China",
-,58.67,,Ihor Borysyk, Ukraine,13 June 2009,Ukrainian National Cup,"Kharkiv, Ukraine",[1]
43,58.58,,Brenton Rickard, Australia,27 July 2009,World Championships,"Rome, Italy",[2]
44,58.46,,Cameron van der Burgh, South Africa,29 July 2012,Olympic Games,"London, United Kingdom",[3]
45,57.92,,Adam Peaty, Great Britain,17 April 2015,British Championships,"London, United Kingdom",[4]
46,57.55,h,Adam Peaty, Great Britain,6 August 2016,Olympic Games,"Rio de Janeiro, Brazil",[5]
47,57.13,,Adam Peaty, Great Britain,7 August 2016,Olympic Games,"Rio de Janeiro, Brazil",[6]
48,57.10,,Adam Peaty, Great Britain,4 August 2018,European Championships,"Glasgow, United Kingdom",[7]
49,56.88,sf,Adam Peaty, Great Britain,21 July 2019,World Championships,"Gwangju, South Korea",[8]
