Mark,Wind,Athlete,Date,Venue,Duration of record
15.52 m (50 ft 11 in),, Dan Ahearn (USA),30 May 1911,"New York City, U.S.[2]","13 years, 1 month and 12 days"
15.52 m (50 ft 11 in),, Nick Winter (AUS),12 July 1924,"Paris, France[2]","7 years, 3 months and 15 days"
15.58 m (51 ft 1+1⁄4 in),, Mikio Oda (JPN),27 October 1931,"Tokyo, Japan[2]",9 months and 18 days
15.72 m (51 ft 6+3⁄4 in),, Chuhei Nambu (JPN),4 August 1932,"Los Angeles, U.S.[2]",3 years and 4 months
15.78 m (51 ft 9+1⁄4 in),, Jack Metcalfe (AUS),14 December 1935,"Sydney, Australia[2]",7 months and 23 days
16.00 m (52 ft 5+3⁄4 in),0.6, Naoto Tajima (JPN),6 August 1936,"Berlin, Germany[2]","14 years, 3 months and 27 days"
16.00 m (52 ft 5+3⁄4 in),1.6, Adhemar da Silva (BRA),3 December 1950,"São Paulo, Brazil[2]",9 months and 27 days
16.01 m (52 ft 6+1⁄4 in),1.2, Adhemar da Silva (BRA),30 September 1951,"Rio de Janeiro, Brazil[2]",9 months and 23 days
16.12 m (52 ft 10+1⁄2 in),, Adhemar da Silva (BRA),23 July 1952,"Helsinki, Finland[2]",0 days
16.22 m (53 ft 2+1⁄2 in),, Adhemar da Silva (BRA),23 July 1952,"Helsinki, Finland[2]",11 months and 26 days
16.23 m (53 ft 2+3⁄4 in),1.5, Leonid Shcherbakov (URS),19 July 1953,"Moscow, Soviet Union[2]","1 year, 7 months and 25 days"
16.56 m (54 ft 3+3⁄4 in) A,0.2, Adhemar da Silva (BRA),16 March 1955,"Mexico City, Mexico[2]","3 years, 4 months and 12 days"
16.59 m (54 ft 5 in),1.0, Oleg Ryakhovskiy (URS),28 July 1958,"Moscow, Soviet Union[2]",9 months and 5 days
16.70 m (54 ft 9+1⁄4 in),0.0, Oleg Fyodoseyev (URS),3 May 1959,"Nalchik, Soviet Union[2]","1 year, 3 months and 2 days"
17.03 m (55 ft 10+1⁄4 in),1.0, Józef Szmidt (POL),5 August 1960,"Olsztyn, Poland[2]","8 years, 2 months and 11 days"
17.10 m (56 ft 1 in) A,0.0, Giuseppe Gentile (ITA),16 October 1968,"Mexico City, Mexico[2]",1 day
17.22 m (56 ft 5+3⁄4 in) A,0.0, Giuseppe Gentile (ITA),17 October 1968,"Mexico City, Mexico[2]",0 days
17.23 m (56 ft 6+1⁄4 in) A,2.0, Viktor Sanyeyev (URS),17 October 1968,"Mexico City, Mexico[2]",0 days
17.27 m (56 ft 7+3⁄4 in) A,2.0, Nelson Prudêncio (BRA),17 October 1968,"Mexico City, Mexico[2]",0 days
17.39 m (57 ft 1⁄2 in) A,2.0, Viktor Sanyeyev (URS),17 October 1968,"Mexico City, Mexico[2]","2 years, 9 months and 19 days"
17.40 m (57 ft 1 in) A,0.4, Pedro Pérez (CUB),5 August 1971,"Cali, Colombia[2]","1 year, 2 months and 10 days"
17.44 m (57 ft 2+1⁄2 in),-0.5, Viktor Sanyeyev (URS),17 October 1972,"Sukhumi, Soviet Union[2]","2 years, 11 months and 28 days"
17.89 m (58 ft 8+1⁄4 in) A,0.0, João Carlos de Oliveira (BRA),15 October 1975,"Mexico City, Mexico[2]","9 years, 8 months and 1 day"
17.97 m (58 ft 11+1⁄4 in),1.5, Willie Banks (USA),16 June 1985,"Indianapolis, U.S.[2]","10 years, 1 month and 2 days"
17.98 m (58 ft 11+3⁄4 in),1.8, Jonathan Edwards (GBR),18 July 1995,"Salamanca, Spain[2]",20 days
18.16 m (59 ft 6+3⁄4 in),1.3, Jonathan Edwards (GBR),7 August 1995,"Gothenburg, Sweden[2]",20 minutes
18.29 m (60 ft 0 in),1.3, Jonathan Edwards (GBR),7 August 1995,"Gothenburg, Sweden[2]","30 years, 4 months and 11 days"
